Building,Longtitude ,Latitude ,Group,Type,Quad,
Higley,40.071342,-82.52512,1,Academic,Academic,
Higley,40.071301,-82.524596,1,Academic,Academic,
Higley,40.071158,-82.524617,1,Academic,Academic,
Higley,40.071195,-82.525141,1,Academic,Academic,
Slayter,40.071362,-82.524341,2,Administrative,Academic,
Slayter,40.071326,-82.523787,2,Administrative,Academic,
Slayter,40.071067,-82.523814,2,Administrative,Academic,
Slayter,40.071107,-82.524373,2,Administrative,Academic,
Knapp,40.071252,-82.523579,3,Academic,Academic,
Knapp,40.071209,-82.523022,3,Academic,Academic,
Knapp,40.071039,-82.523044,3,Academic,Academic,
Knapp,40.071082,-82.5236,3,Academic,Academic,
BurtonMorgan,40.071895,-82.523299,4,Administrative,Academic,
BurtonMorgan,40.071822,-82.523129,4,Administrative,Academic,
BurtonMorgan,40.071677,-82.523234,4,Administrative,Academic,
BurtonMorgan,40.071345,-82.523271,4,Administrative,Academic,
BurtonMorgan,40.071346,-82.523307,4,Administrative,Academic,
BurtonMorgan,40.071302,-82.523315,4,Administrative,Academic,
BurtonMorgan,40.071313,-82.523453,4,Administrative,Academic,
BurtonMorgan,40.071353,-82.52345,4,Administrative,Academic,
BurtonMorgan,40.071357,-82.523489,4,Administrative,Academic,
BurtonMorgan,40.071681,-82.523453,4,Administrative,Academic,
Doane,40.070545,-82.523573,5,Administrative,Academic,
Doane,40.070537,-82.523486,5,Administrative,Academic,
Doane,40.070557,-82.523482,5,Administrative,Academic,
Doane,40.070528,-82.523203,5,Administrative,Academic,
Doane,40.070514,-82.523206,5,Administrative,Academic,
Doane,40.070503,-82.523115,5,Administrative,Academic,
Doane,40.070376,-82.523136,5,Administrative,Academic,
Doane,40.070386,-82.523222,5,Administrative,Academic,
Doane,40.070368,-82.523229,5,Administrative,Academic,
Doane,40.070376,-82.523321,5,Administrative,Academic,
Doane,40.07036,-82.523331,5,Administrative,Academic,
Doane,40.070352,-82.523346,5,Administrative,Academic,
Doane,40.070348,-82.523366,5,Administrative,Academic,
Doane,40.070352,-82.523384,5,Administrative,Academic,
Doane,40.070368,-82.523405,5,Administrative,Academic,
Doane,40.070384,-82.523407,5,Administrative,Academic,
Doane,40.070397,-82.5235,5,Administrative,Academic,
Doane,40.070412,-82.523497,5,Administrative,Academic,
Doane,40.070425,-82.523592,5,Administrative,Academic,
BarneyDavis,40.070427,-82.525082,6,Academic,Academic,
BarneyDavis,40.07041,-82.5249,6,Academic,Academic,
